configuration,episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon_used,epsilon_after_decay,mean_loss,replay_size,optimization_steps,episode_wall_clock_seconds,cumulative_wall_clock_seconds,terminated,truncated
config_a,22,0.5097845826490548,-29.507484207255768,False,150,0.19508372087883286,0.9000874278732445,0.8955869907338783,0.0249443816455702,3161,2662,0.45708112399961465,8.714259262999803,False,True
config_a,23,0.4831343256743761,-31.927103411406282,False,150,0.07589336912218525,0.8955869907338783,0.8911090557802088,0.021638071859876314,3311,2812,0.4299518249999892,9.144214522999846,False,True
config_a,24,0.6902857964855127,-34.56979745057177,False,150,0.013694367135420382,0.8911090557802088,0.8866535105013078,0.020470386718710265,3461,2962,0.4348974879999332,9.579111630999705,False,True
config_a,25,0.025334351051786497,15.417176163382829,True,44,0.012052674085644755,0.8866535105013078,0.8822202429488013,0.031667630759660496,3505,3006,0.13276566600006845,9.711877295999784,True,False
config_a,26,-0.2450664976924909,16.490625676396302,True,26,0.001806211298008259,0.8822202429488013,0.8778091417340573,0.024612230714410543,3531,3032,0.08094154799982789,9.793826090000039,True,False
config_a,27,0.14513155663250255,10.850082893768558,True,67,0.004985247330887316,0.8778091417340573,0.8734200960253871,0.03044327701539246,3598,3099,0.19980098699988957,9.99361321699962,True,False
config_a,28,-0.13954441773992898,19.427365983556957,True,96,0.004352794296145462,0.8734200960253871,0.8690529955452602,0.036860704155211955,3694,3195,0.29350316099998963,10.287122215999716,True,False
config_a,29,-0.10585193886517108,15.657497215270995,True,24,0.01650332739239445,0.8690529955452602,0.8647077305675338,0.03393621484671409,3718,3219,0.07229332299993985,10.359430461999636,True,False
config_a,30,0.6844229261550632,-64.71684259930042,False,150,0.01791033401997577,0.8647077305675338,0.8603841919146962,0.03509337011103829,3868,3369,0.44759444999999687,10.807019402999686,False,True
config_a,31,-0.3986282609417726,-13.57409649365582,True,67,0.01818161933842366,0.8603841919146962,0.8560822709551227,0.042156764160174484,3935,3436,0.2045471690003069,11.011572710999644,True,False
config_a,32,0.6098199051253312,-62.176336197368784,False,150,0.07080121519619231,0.8560822709551227,0.851801859600347,0.0378321765207996,4085,3586,0.4649558039996009,11.476527834999615,False,True
config_a,33,-0.248915815263149,19.120238404208795,True,64,0.0020390033253294138,0.851801859600347,0.8475428503023453,0.03505382451112382,4149,3650,0.18897683200020765,11.665510796000035,True,False
config_a,34,0.7859162125789654,-17.909168298542507,False,150,0.38209873149331697,0.8475428503023453,0.8433051360508336,0.039711857515697675,4299,3800,0.4428034069997011,12.108277136999732,False,True
